EdgeID,label,FromNodeId,ToNodeId,grossTx,grossTxFreq
113,Fav,667,8650,600,< 5/year
114,Fav,7236,8622,2000,< 15/year
115,Fav,983,3404,1000,< 3 / year
116,Fav,3710,451,400,<400/year
117,Fav,6990,1808,50000,< 3 / year
118,Fav,3913,8041,50000,< 5/year
119,Fav,2269,5107,1000,<100 / year
120,Fav,7357,1996,100,< 3 / year
121,Fav,3288,1174,20000,< 25 / year
122,Fav,5663,310,800,< 50 / year
123,Fav,8480,4246,50000,< 3 / year
124,Fav,6981,2116,200,< 1 / year
125,Fav,7854,9045,10000,< 3 / year
126,Fav,5774,2262,100,< 1 / year
127,Fav,349,7239,300,< 5/year
128,Fav,5254,1796,5000,< 5/year
129,Fav,5978,3797,20000,<400/year
130,Fav,208,4221,800,< 3 / year
131,Fav,8026,1779,700,< 3 / year
132,Fav,7198,4394,1000,< 15/year
133,Fav,15,3496,10000,< 15/year
134,Fav,7946,6538,300,> 400 / year
135,Fav,6975,367,0,< 5/year
136,Fav,2407,7472,500,< 5/year
137,Fav,2339,5176,10000,<100 / year
138,Fav,6987,6866,5000,< 50 / year
139,Fav,6531,7530,1000,< 5/year
140,Fav,5432,1064,300,< 3 / year
141,Fav,1184,2574,500,> 400 / year
142,Fav,694,7387,5000,< 5/year
143,Fav,5211,5032,300,< 1 / year
144,Fav,1448,2744,100,< 1 / year
145,Fav,5570,4498,300,< 15/year
146,Fav,2607,6891,10000,< 5/year
147,Fav,4023,2331,5000,< 50 / year
148,Fav,5816,5768,500,< 3 / year
149,Fav,2322,9009,400,< 3 / year
150,Fav,4381,4909,2000,> 400 / year
151,Fav,2601,1675,400,< 1 / year
152,Fav,1049,1258,600,< 3 / year
153,Fav,5761,2165,100,< 3 / year
154,Fav,7208,3874,200,< 3 / year
155,Fav,890,288,600,< 5/year
156,Fav,936,4627,50000,< 1 / year
157,Fav,8998,8053,100,< 3 / year
158,Fav,8877,2690,5000,< 1 / year
159,Fav,5134,5510,20000,< 15/year
160,Fav,4350,7662,600,<400/year
161,Fav,4483,5366,10000,< 3 / year
162,Fav,3085,6958,5000,< 3 / year
163,Fav,6134,5590,0,< 3 / year
164,Fav,2637,683,10000,< 1 / year
165,Fav,2973,1185,900,<200/year
166,Fav,2536,330,2000,< 5/year
167,Fav,52,894,300,<100 / year
168,Fav,5834,6158,20000,> 400 / year
169,Fav,6897,5209,5000,< 3 / year
170,Fav,5802,4370,500,< 3 / year
171,Fav,7132,7555,50000,< 5/year
172,Fav,8098,3588,2000,< 25 / year
173,Fav,3291,5410,20000,< 50 / year
174,Fav,4713,2239,300,< 3 / year
175,Fav,8851,711,2000,< 15/year
176,Fav,8849,4006,5000,> 400 / year
177,Fav,3268,1021,500,<400/year
178,Fav,8776,5133,900,< 3 / year
179,Fav,5709,153,100,< 5/year
180,Fav,6913,3538,20000,< 50 / year
181,Fav,1341,8271,50000,< 3 / year
182,Fav,3526,6396,600,< 5/year
183,Fav,5121,3359,0,<400/year
184,Fav,131,2156,900,< 3 / year
185,Fav,3292,6648,1000,< 3 / year
186,Fav,6241,6740,5000,< 15/year
187,Fav,8415,7406,50000,<200/year
188,Fav,3424,8830,2000,<400/year
189,Fav,8208,8300,500,< 5/year
190,Fav,8563,4762,10000,< 5/year
191,Fav,3611,2836,600,< 5/year
192,Fav,5937,7007,400,<100 / year
193,Fav,2620,4961,900,< 1 / year
194,Fav,138,51,300,< 15/year
195,Fav,2022,6482,300,< 15/year
196,Fav,4867,8027,50000,< 15/year
197,Fav,6115,2412,300,<200/year
198,Fav,4199,7983,50000,< 15/year
199,Fav,1471,6569,300,< 5/year
200,Fav,8410,8141,1000,< 3 / year
201,Fav,4867,5198,500,< 1 / year
202,Fav,1043,2180,20000,> 400 / year
203,Fav,1720,7007,50,<200/year
204,Fav,5979,1252,400,< 5/year
205,Fav,1472,6109,200,< 3 / year
206,Fav,6891,479,2000,<100 / year
207,Fav,8418,5044,1000,<400/year
208,Fav,8068,790,0,< 1 / year
209,Fav,1381,8600,800,< 5/year
210,Fav,3077,8512,500,< 5/year
211,Fav,637,5269,50000,< 1 / year
212,Fav,2647,2841,2000,< 1 / year
213,Fav,7690,1664,700,< 5/year
214,Fav,6466,8428,50000,< 5/year
215,Fav,6286,7532,300,< 5/year
216,Fav,8023,7118,700,< 25 / year
217,Fav,1700,7029,0,< 3 / year
218,Fav,7559,5967,200,<400/year
219,Fav,5416,8325,10000,< 3 / year
220,Fav,6410,7981,0,< 5/year
221,Fav,57,7236,20000,< 3 / year
222,Fav,7957,3890,800,< 5/year
223,Fav,3109,6139,50,<100 / year
224,Fav,1800,8502,10000,< 3 / year
225,Fav,8220,4159,10000,< 5/year
226,Fav,7953,2910,600,<200/year
227,Fav,308,2905,100,< 15/year
228,Fav,5872,5369,800,< 15/year
229,Fav,7505,6941,600,< 5/year
230,Fav,2737,4285,400,< 1 / year
231,Fav,8899,8132,900,< 1 / year
232,Fav,3028,4976,50000,< 1 / year
233,Fav,1798,1151,50000,< 1 / year
234,Fav,1448,3364,100,< 5/year
235,Fav,3215,2801,600,< 5/year
236,Fav,7661,338,400,<200/year
237,Fav,7717,4227,2000,< 1 / year
238,Fav,4984,282,10000,<100 / year
239,Fav,2831,6033,20000,< 3 / year
240,Fav,1687,6956,100,<400/year
241,Fav,6912,2157,20000,< 1 / year
242,Fav,3540,2839,600,< 5/year
243,Fav,8957,2912,400,< 5/year
244,Fav,8043,2421,700,< 5/year
245,Fav,6889,3104,20000,<200/year
246,Fav,358,5287,20000,<100 / year
247,Fav,1355,6632,5000,< 1 / year
248,Fav,6969,8619,20000,< 3 / year
249,Fav,7878,4954,50,< 25 / year
250,Fav,7805,1156,600,< 15/year
251,Fav,3483,7288,300,< 5/year
252,Fav,4360,6712,5000,<100 / year
253,Fav,7468,3722,500,< 3 / year
254,Fav,4782,567,50000,< 1 / year
255,Fav,5612,6833,5000,< 3 / year
256,Fav,71,1836,500,< 5/year
257,Fav,6869,291,2000,< 25 / year
258,Fav,5524,3195,2000,< 3 / year
259,Fav,7577,806,50000,< 1 / year
260,Fav,8989,2911,500,< 5/year
261,Fav,6397,344,600,< 15/year
262,Fav,7172,1136,800,<200/year
263,Fav,2010,657,5000,< 3 / year
264,Fav,7401,7946,50000,< 3 / year
265,Fav,2546,1844,1000,< 3 / year
266,Fav,4065,7185,200,< 5/year
267,Fav,66,375,10000,< 5/year
268,Fav,119,8076,10000,> 400 / year
269,Fav,7519,5531,100,< 1 / year
270,Fav,5087,5207,700,< 50 / year
271,Fav,6633,1276,10000,< 25 / year
272,Fav,2270,1432,50,< 15/year
273,Fav,8360,7037,600,< 5/year
274,Fav,4694,1007,20000,< 5/year
275,Fav,5884,2847,700,< 15/year
276,Fav,3462,8559,200,< 25 / year
277,Fav,221,2493,10000,< 1 / year
278,Fav,1999,1235,5000,< 5/year
279,Fav,4934,2143,100,< 3 / year
280,Fav,8449,6858,0,< 1 / year
281,Fav,1713,2463,900,< 15/year
282,Fav,8557,6468,800,<400/year
283,Fav,2161,3951,900,< 1 / year
284,Fav,942,3386,400,< 1 / year
285,Fav,487,1017,5000,< 5/year
286,Fav,461,2766,900,< 3 / year
287,Fav,4255,5452,700,<100 / year
288,Fav,4897,3202,300,<200/year
289,Fav,5759,3301,50,< 5/year
290,Fav,6683,7668,400,< 50 / year
291,Fav,835,3656,600,<100 / year
292,Fav,1992,1065,200,< 15/year
293,Fav,5904,2700,5000,< 1 / year
294,Fav,3113,988,50,< 1 / year
295,Fav,1400,1321,50000,> 400 / year
296,Fav,5790,4236,50,< 5/year
297,Fav,8390,1362,5000,< 25 / year
298,Fav,3458,7907,200,< 5/year
299,Fav,6774,2067,50,< 5/year
300,Fav,1119,6871,900,< 1 / year
301,Fav,2251,6163,1000,< 15/year
302,Fav,2648,6337,600,< 25 / year
303,Fav,4241,4683,0,< 1 / year
304,Fav,4209,2927,900,< 5/year
305,Fav,4787,8651,700,< 5/year
306,Fav,7556,1643,50000,< 3 / year
307,Fav,8080,2206,1000,< 1 / year
308,Fav,5776,3864,200,< 1 / year
309,Fav,7562,8241,100,< 3 / year
310,Fav,2683,7428,5000,< 5/year
311,Fav,8918,2196,50000,< 3 / year
312,Fav,7641,5438,50,<200/year
313,Fav,311,4101,50,< 5/year
314,Fav,5544,4244,0,< 1 / year
315,Fav,979,8078,50000,<100 / year
316,Fav,5086,1805,2000,> 400 / year
317,Fav,402,1842,900,< 1 / year
318,Fav,1005,1866,900,< 25 / year
319,Fav,941,5673,800,< 5/year
320,Fav,5497,36,100,< 5/year
321,Fav,9042,5663,200,< 15/year
322,Fav,5337,3594,50,> 400 / year
323,Fav,1479,3065,200,> 400 / year
324,Fav,4396,3614,20000,< 15/year
325,Fav,7549,1566,200,<100 / year
326,Fav,6050,6114,10000,< 5/year
327,Fav,2681,4344,100,<400/year
328,Fav,5120,4647,900,< 1 / year
329,Fav,479,6355,5000,< 1 / year
330,Fav,5220,1617,20000,<400/year
331,Fav,7868,515,50000,< 1 / year
332,Fav,1908,3675,5000,< 15/year
333,Fav,8493,8236,10000,<100 / year
334,Fav,5962,324,500,< 15/year
335,Fav,236,7613,800,< 5/year
336,Fav,7433,8563,700,< 3 / year
337,Fav,7472,6689,5000,< 3 / year
338,Fav,4087,3035,300,< 5/year
339,Fav,2514,2040,0,<100 / year
340,Fav,5448,3885,0,< 3 / year
341,Fav,2485,8661,5000,< 5/year
342,Fav,1201,3162,200,< 3 / year
343,Fav,1395,6583,400,< 5/year
344,Fav,2574,1665,0,< 5/year
345,Fav,3844,113,800,> 400 / year
346,Fav,8190,7341,100,< 1 / year
347,Fav,6243,6881,20000,< 3 / year
348,Fav,392,7272,2000,< 3 / year
349,Fav,210,4332,400,< 5/year
350,Fav,2411,4444,10000,< 5/year
351,Fav,5190,7868,5000,< 5/year
352,Fav,1122,1988,800,< 3 / year
353,Fav,2414,3456,200,< 5/year
354,Fav,7493,6511,0,< 3 / year
355,Fav,1823,1959,50000,< 1 / year
356,Fav,1070,4497,500,< 1 / year
357,Fav,8647,1199,300,> 400 / year
358,Fav,299,6384,1000,<200/year
359,Fav,2221,2986,200,< 3 / year
360,Fav,1964,1837,700,<100 / year
361,Fav,3821,7603,20000,< 5/year
362,Fav,8122,7981,10000,< 5/year
363,Fav,1505,6107,50000,< 3 / year
364,Fav,283,4866,800,< 5/year
365,Fav,916,6326,300,< 5/year
366,Fav,3508,2278,300,< 5/year
367,Fav,3770,7000,800,< 1 / year
368,Fav,4741,6109,300,< 25 / year
369,Fav,609,6083,2000,< 3 / year
370,Fav,6330,6679,50,<200/year
371,Fav,7469,3148,10000,< 1 / year
372,Fav,3219,1410,400,<400/year
373,Fav,3953,4724,20000,< 3 / year
374,Fav,1259,2667,100,< 3 / year
375,Fav,6915,5269,600,< 50 / year
376,Fav,4386,7785,100,< 3 / year
377,Fav,6253,7543,2000,< 50 / year
378,Fav,8773,1069,5000,<100 / year
379,Fav,2788,7427,200,< 5/year
380,Fav,6820,5017,50000,< 5/year
381,Fav,7031,2016,50000,<400/year
382,Fav,71,966,400,> 400 / year
383,Fav,4942,8526,800,<400/year
384,Fav,4869,5638,100,<200/year
385,Fav,8440,5141,50,< 5/year
386,Fav,3933,92,200,<400/year
387,Fav,5752,7917,50,< 1 / year
388,Fav,1042,5048,700,< 5/year
389,Fav,3962,5831,20000,< 1 / year
390,Fav,2158,5043,10000,<400/year
391,Fav,6358,8797,50,< 3 / year
392,Fav,8081,3619,500,< 1 / year
393,Fav,2401,6873,700,< 5/year
394,Fav,4573,2881,50000,< 3 / year
395,Fav,214,7201,800,< 5/year
396,Fav,173,2955,1000,< 50 / year
397,Fav,3641,2572,700,< 5/year
398,Fav,5863,1415,600,< 1 / year
399,Fav,3522,1065,2000,< 1 / year
400,Fav,7738,320,300,<400/year
401,Fav,6647,8946,50000,> 400 / year
402,Fav,7093,2103,700,> 400 / year
403,Fav,5997,3033,20000,< 1 / year
404,Fav,4363,5899,10000,< 5/year
405,Fav,2656,8093,0,< 3 / year
406,Fav,4929,2588,50,< 1 / year
407,Fav,295,4832,50,<100 / year
408,Fav,3950,4051,20000,< 15/year
409,Fav,5170,6821,10000,< 3 / year
410,Fav,7412,748,50,< 3 / year
411,Fav,8451,7605,1000,< 15/year
412,Fav,620,5778,200,< 5/year
413,Fav,6010,8349,100,< 1 / year
414,Fav,5555,7653,900,< 3 / year
415,Fav,1435,892,50,< 1 / year
416,Fav,2495,4954,700,< 3 / year
417,Fav,9043,4830,700,< 5/year
418,Fav,3630,3044,900,< 50 / year
419,Fav,4138,4924,100,< 50 / year
420,Fav,6507,863,20000,< 15/year
421,Fav,1813,2722,0,< 3 / year
422,Fav,1828,1247,700,< 1 / year
423,Fav,6402,6900,100,< 25 / year
424,Fav,8908,3956,600,< 5/year
425,Fav,8984,9027,20000,< 3 / year
426,Fav,5497,5842,800,< 3 / year
427,Fav,2033,8502,20000,< 5/year
428,Fav,1822,4082,0,< 15/year
429,Fav,7632,7412,200,<400/year
430,Fav,645,1674,700,< 3 / year
431,Fav,4303,6974,0,< 25 / year
432,Fav,2914,8719,100,< 3 / year
433,Fav,4752,4282,500,< 1 / year
434,Fav,3990,1381,5000,< 5/year
435,Fav,162,2192,800,< 5/year
436,Fav,1234,8037,1000,<200/year
437,Fav,1942,94,400,< 1 / year
438,Fav,3346,757,1000,<400/year
439,Fav,4758,1173,50,< 5/year
440,Fav,3634,7691,200,< 5/year
441,Fav,6200,8222,200,> 400 / year
442,Fav,8096,7943,0,<200/year
443,Fav,6671,3056,600,< 25 / year
444,Fav,2682,6813,900,< 15/year
445,Fav,5042,6065,600,< 50 / year
446,Fav,5621,5458,50,< 1 / year
447,Fav,7920,5646,500,< 5/year
448,Fav,6861,4208,20000,< 25 / year
449,Fav,4071,8641,0,< 3 / year
450,Fav,2678,3288,600,< 1 / year
451,Fav,8153,726,50000,< 25 / year
452,Fav,4508,8203,300,< 3 / year
453,Fav,4770,2379,500,< 3 / year
454,Fav,6682,6337,800,< 3 / year
455,Fav,1915,7791,300,< 3 / year
456,Fav,3671,3073,900,< 3 / year
457,Fav,5470,6477,20000,< 3 / year
458,Fav,3866,7525,20000,< 1 / year
459,Fav,2181,8615,50,> 400 / year
460,Fav,8568,6013,1000,< 25 / year
461,Fav,3944,4400,1000,> 400 / year
462,Fav,2531,8547,400,< 5/year
463,Fav,7031,6291,10000,< 15/year
464,Fav,7227,4412,300,<200/year
465,Fav,1108,8256,900,< 3 / year
466,Fav,4695,6302,50,<200/year
467,Fav,7667,2679,600,< 15/year
468,Fav,275,2785,900,< 50 / year
469,Fav,5957,1567,10000,<200/year
470,Fav,4963,7017,5000,< 25 / year
471,Fav,7451,9065,1000,<200/year
472,Fav,6609,5799,20000,<200/year
473,Fav,1074,8019,50000,<400/year
474,Fav,542,3058,100,< 1 / year
475,Fav,1149,2224,1000,<200/year
476,Fav,6860,5637,20000,<200/year
477,Fav,8558,6195,900,< 5/year
478,Fav,1754,3661,10000,< 3 / year
479,Fav,7079,9000,600,< 5/year
480,Fav,4043,5309,600,< 3 / year
481,Fav,1167,931,100,<200/year
482,Fav,7143,1763,400,< 5/year
483,Fav,8494,3427,100,<200/year
484,Fav,3483,1514,800,< 1 / year
485,Fav,2004,7280,700,< 5/year
486,Fav,2886,8580,2000,<400/year
487,Fav,152,204,10000,< 50 / year
488,Fav,5115,283,200,< 50 / year
489,Fav,8769,8320,300,< 25 / year
490,Fav,865,8665,50000,< 5/year
491,Fav,2505,4434,20000,< 15/year
492,Fav,323,8154,800,<400/year
493,Fav,7038,1119,500,<100 / year
494,Fav,6630,6589,10000,< 15/year
495,Fav,1011,445,400,< 25 / year
496,Fav,4492,7981,2000,<100 / year
497,Fav,4385,6055,300,< 3 / year
498,Fav,1331,1174,50,< 5/year
499,Fav,6913,8198,5000,<200/year
500,Fav,6402,6744,200,< 3 / year
501,Fav,3874,5302,10000,< 1 / year
502,Fav,7298,3654,5000,< 3 / year
503,Fav,5623,5963,10000,< 3 / year
504,Fav,7576,5281,700,> 400 / year
505,Fav,2944,4282,200,<400/year
506,Fav,5375,4244,20000,< 15/year
507,Fav,8684,1730,500,< 5/year
508,Fav,294,3729,10000,< 3 / year
509,Fav,6227,620,600,< 3 / year
510,Fav,8490,1497,600,< 25 / year
511,Fav,8466,8946,500,< 3 / year
512,Fav,3037,4828,400,<100 / year
513,Fav,6101,2173,700,< 3 / year
514,Fav,3045,1657,300,<100 / year
515,Fav,6294,2117,10000,< 1 / year
516,Fav,4278,7786,2000,< 1 / year
517,Fav,2573,2571,0,< 3 / year
518,Fav,6748,2853,700,<400/year
519,Fav,4588,2091,300,< 1 / year
520,Fav,2421,3695,0,<200/year
521,Fav,2966,9050,100,< 5/year
522,Fav,860,530,50,< 5/year
523,Fav,4841,7656,0,<200/year
524,Fav,4151,6061,200,< 5/year
525,Fav,36,1186,500,> 400 / year
526,Fav,6534,1042,100,< 3 / year
527,Fav,4405,3765,50000,< 3 / year
528,Fav,4463,5085,100,> 400 / year
529,Fav,1280,5717,1000,< 25 / year
530,Fav,7796,5639,700,< 5/year
531,Fav,3805,5533,50000,<400/year
532,Fav,5322,8908,20000,< 25 / year
533,Fav,7001,3410,800,< 1 / year
534,Fav,2176,6578,0,< 5/year
535,Fav,8682,5397,50,<200/year
536,Fav,4522,8479,50,< 15/year
537,Fav,1515,5466,100,< 3 / year
538,Fav,1510,1147,900,> 400 / year
539,Fav,5018,8628,10000,< 5/year
540,Fav,1512,1265,200,<100 / year
541,Fav,5719,4729,1000,< 1 / year
542,Fav,6618,715,200,< 3 / year
543,Fav,2877,3248,700,< 3 / year
544,Fav,551,3323,500,< 3 / year
545,Fav,2505,4186,10000,<200/year
546,Fav,5164,2670,600,> 400 / year
547,Fav,2133,3277,50,< 50 / year
548,Fav,3999,3366,900,< 5/year
549,Fav,5453,3579,5000,< 3 / year
550,Fav,5651,968,10000,<100 / year
551,Fav,628,7573,300,<200/year
552,Fav,3548,7665,200,<200/year
553,Fav,8740,8935,900,> 400 / year
554,Fav,9022,125,100,< 3 / year
555,Fav,6664,4438,1000,< 5/year
556,Fav,2551,5663,600,< 5/year
557,Fav,7365,1687,600,< 5/year
558,Fav,6065,6844,50,< 50 / year
559,Fav,6060,4547,100,< 3 / year
560,Fav,8960,1065,200,< 5/year
561,Fav,7833,6570,400,<100 / year
562,Fav,7716,2887,100,< 50 / year
563,Fav,4914,2531,20000,< 3 / year
564,Fav,318,2103,400,< 1 / year
565,Fav,2311,6440,100,< 50 / year
566,Fav,6078,2636,5000,<400/year
567,Fav,478,616,400,< 3 / year
568,Fav,7270,3403,800,< 5/year
569,Fav,4392,4306,0,< 15/year
570,Fav,7852,1454,50,< 3 / year
571,Fav,3267,7099,500,< 5/year
572,Fav,6492,2154,200,< 1 / year
573,Fav,6016,7243,500,<400/year
574,Fav,4104,430,300,<200/year
575,Fav,8976,557,500,< 3 / year
576,Fav,5989,1618,50000,< 15/year
577,Fav,7158,3523,50,< 3 / year
578,Fav,738,5433,800,<200/year
579,Fav,1370,4680,50,< 5/year
580,Fav,4099,5176,50000,< 1 / year
581,Fav,4072,7018,600,< 1 / year
582,Fav,4469,3550,10000,< 5/year
583,Fav,3605,4996,50,< 5/year
584,Fav,8364,3204,800,> 400 / year
585,Fav,8295,8133,1000,< 5/year
586,Fav,7576,8348,20000,< 3 / year
587,Fav,8771,6283,900,< 5/year
588,Fav,2970,2431,5000,< 5/year
589,Fav,3674,8599,200,< 1 / year
590,Fav,5150,4033,400,< 3 / year
591,Fav,6776,1540,700,< 5/year
592,Fav,24,5520,300,< 5/year
593,Fav,521,8401,2000,< 15/year
594,Fav,61,2878,5000,< 3 / year
595,Fav,2088,5332,600,< 1 / year
596,Fav,639,8126,100,< 3 / year
597,Fav,8719,6857,800,< 5/year
598,Fav,640,4948,500,< 5/year
599,Fav,6823,8243,50,< 15/year
600,Fav,6781,2186,20000,< 15/year
601,Fav,5786,5753,800,< 5/year
602,Fav,5345,61,900,< 15/year
603,Fav,2917,762,200,> 400 / year
604,Fav,1690,1987,800,< 50 / year
605,Fav,7096,6258,100,< 1 / year
606,Fav,4481,2433,2000,> 400 / year
607,Fav,283,8548,700,< 5/year
608,Fav,8612,6865,200,< 1 / year
609,Fav,4105,6920,1000,< 25 / year
610,Fav,7718,5264,50,< 3 / year
611,Fav,8,1862,400,< 1 / year
612,Fav,8144,7752,500,< 5/year
613,Fav,8083,4325,20000,< 1 / year
614,Fav,5581,3949,800,< 3 / year
615,Fav,700,134,600,< 50 / year
616,Fav,7809,8162,500,< 5/year
617,Fav,1189,2637,2000,< 1 / year
618,Fav,2268,4604,700,< 15/year
619,Fav,3249,3812,700,< 5/year
620,Fav,8666,4049,300,<100 / year
621,Fav,2473,5182,600,<400/year
622,Fav,3921,8544,900,<400/year
623,Fav,3660,6025,900,< 1 / year
624,Fav,7945,2804,500,< 3 / year
625,Fav,3647,1605,1000,< 5/year
626,Fav,1649,8014,500,<100 / year
627,Fav,2612,7444,50000,< 5/year
628,Fav,6714,7889,5000,<200/year
629,Fav,5261,48,20000,< 3 / year
630,Fav,7328,97,700,< 50 / year
631,Fav,2540,187,900,> 400 / year
632,Fav,7887,530,0,< 5/year
633,Fav,6336,3678,50,< 1 / year
634,Fav,311,6990,2000,< 5/year
635,Fav,6545,557,600,<200/year
636,Fav,8601,151,20000,< 1 / year
637,Fav,7138,5448,0,< 1 / year
638,Fav,4663,4593,400,< 5/year
639,Fav,1652,7641,20000,< 5/year
640,Fav,570,6088,900,< 15/year
641,Fav,1629,5318,800,< 15/year
642,Fav,7124,5584,400,< 15/year
643,Fav,1290,3815,20000,< 5/year
644,Fav,3348,2150,1000,<100 / year
645,Fav,8459,7759,300,< 3 / year
646,Fav,7547,1222,0,< 1 / year
647,Fav,2843,6376,600,< 15/year
648,Fav,5997,1639,300,< 15/year
649,Fav,929,5313,0,< 1 / year
650,Fav,7761,8773,900,< 1 / year
651,Fav,2746,6193,500,< 1 / year
652,Fav,3078,5219,2000,< 5/year
653,Fav,5314,6427,900,< 3 / year
654,Fav,8733,659,1000,< 5/year
655,Fav,8305,7284,5000,< 1 / year
656,Fav,5870,2865,50000,< 3 / year
657,Fav,2936,2160,300,< 5/year
658,Fav,8328,4274,0,< 50 / year
659,Fav,4255,1218,200,< 25 / year
660,Fav,1577,6895,20000,< 5/year
661,Fav,6091,5402,100,< 3 / year
662,Fav,4046,8075,5000,< 15/year
663,Fav,5072,2340,200,< 1 / year
664,Fav,7658,3243,2000,> 400 / year
665,Fav,8316,6737,2000,< 5/year
666,Fav,2117,4850,10000,< 15/year
667,Fav,8191,3839,0,< 3 / year
668,Fav,6932,8065,0,< 5/year
669,Fav,8967,4574,900,< 1 / year
670,Fav,2096,4372,100,< 1 / year
671,Fav,1738,5403,200,<200/year
672,Fav,3890,956,10000,<100 / year
673,Fav,5809,1683,600,< 1 / year
674,Fav,1673,7027,400,< 50 / year
675,Fav,7970,1404,100,< 3 / year
676,Fav,6460,3073,1000,< 5/year
677,Fav,2792,1281,100,< 15/year
